id,category,question,answer
66,Government Schemes,What government scheme is available for sugarcane farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for sugarcane farmers to provide income support and risk coverage.
67,Government Schemes,What government scheme is available for cotton farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for cotton farmers to provide income support and risk coverage.
68,Government Schemes,What government scheme is available for coffee farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for coffee farmers to provide income support and risk coverage.
69,Government Schemes,What government scheme is available for tea farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for tea farmers to provide income support and risk coverage.
70,Government Schemes,What government scheme is available for areca nut farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for areca nut farmers to provide income support and risk coverage.
71,Government Schemes,What government scheme is available for coconut farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for coconut farmers to provide income support and risk coverage.
72,Government Schemes,What government scheme is available for apple farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for apple farmers to provide income support and risk coverage.
73,Government Schemes,What government scheme is available for banana farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for banana farmers to provide income support and risk coverage.
74,Government Schemes,What government scheme is available for mango farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for mango farmers to provide income support and risk coverage.
75,Government Schemes,What government scheme is available for tomato farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for tomato farmers to provide income support and risk coverage.
76,Government Schemes,What government scheme is available for potato farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for potato farmers to provide income support and risk coverage.
77,Government Schemes,What government scheme is available for chili farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for chili farmers to provide income support and risk coverage.
78,Government Schemes,What government scheme is available for onion farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for onion farmers to provide income support and risk coverage.
79,Government Schemes,What government scheme is available for groundnut farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for groundnut farmers to provide income support and risk coverage.
80,Government Schemes,What government scheme is available for soybean farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for soybean farmers to provide income support and risk coverage.
81,Government Schemes,What government scheme is available for rice farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for rice farmers to provide income support and risk coverage.
82,Government Schemes,What government scheme is available for wheat farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for wheat farmers to provide income support and risk coverage.
83,Government Schemes,What government scheme is available for maize farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for maize farmers to provide income support and risk coverage.
84,Government Schemes,What government scheme is available for millets farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for millets farmers to provide income support and risk coverage.
85,Government Schemes,What government scheme is available for ragi farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for ragi farmers to provide income support and risk coverage.
86,Government Schemes,What government scheme is available for sugarcane farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for sugarcane farmers to provide income support and risk coverage.
87,Government Schemes,What government scheme is available for cotton farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for cotton farmers to provide income support and risk coverage.
88,Government Schemes,What government scheme is available for coffee farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for coffee farmers to provide income support and risk coverage.
89,Government Schemes,What government scheme is available for tea farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for tea farmers to provide income support and risk coverage.
90,Government Schemes,What government scheme is available for areca nut farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for areca nut farmers to provide income support and risk coverage.
91,Government Schemes,What government scheme is available for coconut farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for coconut farmers to provide income support and risk coverage.
92,Government Schemes,What government scheme is available for apple farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for apple farmers to provide income support and risk coverage.
93,Government Schemes,What government scheme is available for banana farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for banana farmers to provide income support and risk coverage.
94,Government Schemes,What government scheme is available for mango farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for mango farmers to provide income support and risk coverage.
95,Government Schemes,What government scheme is available for tomato farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for tomato farmers to provide income support and risk coverage.
96,Government Schemes,What government scheme is available for potato farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for potato farmers to provide income support and risk coverage.
97,Government Schemes,What government scheme is available for chili farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for chili farmers to provide income support and risk coverage.
98,Government Schemes,What government scheme is available for onion farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for onion farmers to provide income support and risk coverage.
99,Government Schemes,What government scheme is available for groundnut farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for groundnut farmers to provide income support and risk coverage.
100,Government Schemes,What government scheme is available for soybean farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for soybean farmers to provide income support and risk coverage.
101,Fertilizers,What type of fertilizer is best suited for growing rice?,"For healthy rice growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
102,Fertilizers,What type of fertilizer is best suited for growing wheat?,"For healthy wheat growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
103,Fertilizers,What type of fertilizer is best suited for growing maize?,"For healthy maize growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
104,Fertilizers,What type of fertilizer is best suited for growing millets?,"For healthy millets growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
105,Fertilizers,What type of fertilizer is best suited for growing ragi?,"For healthy ragi growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
106,Fertilizers,What type of fertilizer is best suited for growing sugarcane?,"For healthy sugarcane growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
107,Fertilizers,What type of fertilizer is best suited for growing cotton?,"For healthy cotton growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
108,Fertilizers,What type of fertilizer is best suited for growing coffee?,"For healthy coffee growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
109,Fertilizers,What type of fertilizer is best suited for growing tea?,"For healthy tea growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
110,Fertilizers,What type of fertilizer is best suited for growing areca nut?,"For healthy areca nut growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
111,Fertilizers,What type of fertilizer is best suited for growing coconut?,"For healthy coconut growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
112,Fertilizers,What type of fertilizer is best suited for growing apple?,"For healthy apple growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
113,Fertilizers,What type of fertilizer is best suited for growing banana?,"For healthy banana growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
114,Fertilizers,What type of fertilizer is best suited for growing mango?,"For healthy mango growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
115,Fertilizers,What type of fertilizer is best suited for growing tomato?,"For healthy tomato growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
116,Fertilizers,What type of fertilizer is best suited for growing potato?,"For healthy potato growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
117,Fertilizers,What type of fertilizer is best suited for growing chili?,"For healthy chili growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
118,Fertilizers,What type of fertilizer is best suited for growing onion?,"For healthy onion growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
119,Fertilizers,What type of fertilizer is best suited for growing groundnut?,"For healthy groundnut growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
120,Fertilizers,What type of fertilizer is best suited for growing soybean?,"For healthy soybean growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
121,Fertilizers,What type of fertilizer is best suited for growing rice?,"For healthy rice growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
122,Fertilizers,What type of fertilizer is best suited for growing wheat?,"For healthy wheat growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
123,Fertilizers,What type of fertilizer is best suited for growing maize?,"For healthy maize growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
124,Fertilizers,What type of fertilizer is best suited for growing millets?,"For healthy millets growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
125,Fertilizers,What type of fertilizer is best suited for growing ragi?,"For healthy ragi growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
126,Fertilizers,What type of fertilizer is best suited for growing sugarcane?,"For healthy sugarcane growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
127,Fertilizers,What type of fertilizer is best suited for growing cotton?,"For healthy cotton growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
128,Fertilizers,What type of fertilizer is best suited for growing coffee?,"For healthy coffee growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
129,Fertilizers,What type of fertilizer is best suited for growing tea?,"For healthy tea growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
130,Fertilizers,What type of fertilizer is best suited for growing areca nut?,"For healthy areca nut growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
131,Fertilizers,What type of fertilizer is best suited for growing coconut?,"For healthy coconut growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
132,Fertilizers,What type of fertilizer is best suited for growing apple?,"For healthy apple growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
133,Fertilizers,What type of fertilizer is best suited for growing banana?,"For healthy banana growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
134,Fertilizers,What type of fertilizer is best suited for growing mango?,"For healthy mango growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
135,Fertilizers,What type of fertilizer is best suited for growing tomato?,"For healthy tomato growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
136,Fertilizers,What type of fertilizer is best suited for growing potato?,"For healthy potato growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
137,Fertilizers,What type of fertilizer is best suited for growing chili?,"For healthy chili growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
138,Fertilizers,What type of fertilizer is best suited for growing onion?,"For healthy onion growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
139,Fertilizers,What type of fertilizer is best suited for growing groundnut?,"For healthy groundnut growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
140,Fertilizers,What type of fertilizer is best suited for growing soybean?,"For healthy soybean growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
141,Fertilizers,What type of fertilizer is best suited for growing rice?,"For healthy rice growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
142,Fertilizers,What type of fertilizer is best suited for growing wheat?,"For healthy wheat growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
143,Fertilizers,What type of fertilizer is best suited for growing maize?,"For healthy maize growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
144,Fertilizers,What type of fertilizer is best suited for growing millets?,"For healthy millets growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
145,Fertilizers,What type of fertilizer is best suited for growing ragi?,"For healthy ragi growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
146,Fertilizers,What type of fertilizer is best suited for growing sugarcane?,"For healthy sugarcane growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
147,Fertilizers,What type of fertilizer is best suited for growing cotton?,"For healthy cotton growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
148,Fertilizers,What type of fertilizer is best suited for growing coffee?,"For healthy coffee growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
149,Fertilizers,What type of fertilizer is best suited for growing tea?,"For healthy tea growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
150,Fertilizers,What type of fertilizer is best suited for growing areca nut?,"For healthy areca nut growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
151,Fertilizers,What type of fertilizer is best suited for growing coconut?,"For healthy coconut growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
152,Fertilizers,What type of fertilizer is best suited for growing apple?,"For healthy apple growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
153,Fertilizers,What type of fertilizer is best suited for growing banana?,"For healthy banana growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
154,Fertilizers,What type of fertilizer is best suited for growing mango?,"For healthy mango growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
155,Fertilizers,What type of fertilizer is best suited for growing tomato?,"For healthy tomato growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
156,Fertilizers,What type of fertilizer is best suited for growing potato?,"For healthy potato growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
157,Fertilizers,What type of fertilizer is best suited for growing chili?,"For healthy chili growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
158,Fertilizers,What type of fertilizer is best suited for growing onion?,"For healthy onion growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
159,Fertilizers,What type of fertilizer is best suited for growing groundnut?,"For healthy groundnut growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
160,Fertilizers,What type of fertilizer is best suited for growing soybean?,"For healthy soybean growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
161,Fertilizers,What type of fertilizer is best suited for growing rice?,"For healthy rice growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
162,Fertilizers,What type of fertilizer is best suited for growing wheat?,"For healthy wheat growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
163,Fertilizers,What type of fertilizer is best suited for growing maize?,"For healthy maize growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
164,Fertilizers,What type of fertilizer is best suited for growing millets?,"For healthy millets growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
165,Fertilizers,What type of fertilizer is best suited for growing ragi?,"For healthy ragi growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
166,Fertilizers,What type of fertilizer is best suited for growing sugarcane?,"For healthy sugarcane growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
167,Fertilizers,What type of fertilizer is best suited for growing cotton?,"For healthy cotton growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
168,Fertilizers,What type of fertilizer is best suited for growing coffee?,"For healthy coffee growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
169,Fertilizers,What type of fertilizer is best suited for growing tea?,"For healthy tea growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
170,Fertilizers,What type of fertilizer is best suited for growing areca nut?,"For healthy areca nut growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
171,Fertilizers,What type of fertilizer is best suited for growing coconut?,"For healthy coconut growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
172,Fertilizers,What type of fertilizer is best suited for growing apple?,"For healthy apple growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
173,Fertilizers,What type of fertilizer is best suited for growing banana?,"For healthy banana growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
174,Fertilizers,What type of fertilizer is best suited for growing mango?,"For healthy mango growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
175,Fertilizers,What type of fertilizer is best suited for growing tomato?,"For healthy tomato growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
176,Fertilizers,What type of fertilizer is best suited for growing potato?,"For healthy potato growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
177,Fertilizers,What type of fertilizer is best suited for growing chili?,"For healthy chili growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
178,Fertilizers,What type of fertilizer is best suited for growing onion?,"For healthy onion growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
179,Fertilizers,What type of fertilizer is best suited for growing groundnut?,"For healthy groundnut growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
180,Fertilizers,What type of fertilizer is best suited for growing soybean?,"For healthy soybean growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
181,Fertilizers,What type of fertilizer is best suited for growing rice?,"For healthy rice growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
182,Fertilizers,What type of fertilizer is best suited for growing wheat?,"For healthy wheat growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
183,Fertilizers,What type of fertilizer is best suited for growing maize?,"For healthy maize growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
184,Fertilizers,What type of fertilizer is best suited for growing millets?,"For healthy millets growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
185,Fertilizers,What type of fertilizer is best suited for growing ragi?,"For healthy ragi growth, use a balanced mix of nitrogen, phosphorus, and potassium fertilizers as recommended by the agricultural department."
